 ,,,,,
S. No,Name (English),Name (Tamil),Rate,80%-Discount Price,Per.
89.                ,24 Deluxe,24 டீலக்ஸ்,225,₹ 45.00,1 Pkt.
90.                ,50 Deluxe,50 டீலக்ஸ்,450,₹ 90.00,1 Pkt.
91.                ,100 Deluxe,100 டீலக்ஸ்,1000,₹ 200.00,1 Pkt.
92.                ,Red Bijili (50pcs) ,ரெட் பிஜிலி (50 பீஸ்),90,₹ 18.00,1 Pkt.
93.                ,Red bijili 100 pcs ,ரெட் பிஜிலி 100 பீஸ்,165,₹ 33.00,1 Pkt.
94.                ,Stripped Bijili,ஸ்டிரிப்ட் பிஜிலி,175,₹ 35.00,1 Pkt.
95.                ,VBM Bijili Crackers,VBM பிஜிலி கிராக்கர்ஸ்,300,₹ 60.00,1 Pkt
96.                ,Hot mirchi,ஹாட் மிர்ச்சி,725,₹ 145.00,1 Pkt
97.                ,15” Pencil,15” பென்சில்,400,₹ 80.00,1 Box
98.                ,18” Pencil,18” பென்சில்,525,₹ 105.00,1 Box
99.                ,Hi – Tech Pencil,ஹை-டெக் பென்சில்,575,₹ 115.00,1 Box
100.            ,Pop Corn Pencil,பாப் கார்ன் பென்சில்,1250,₹ 250.00,1 Box
101.            ,Sivakasi SPL,சிவகாசி எஸ்பிஎல்,1000,₹ 200.00,1 Box
102.            ,Magic wand,மேஜிக் வாண்ட்,625,₹ 125.00,1 Box
103.            ,Vio-Violet colour(2 Pcs),வயோ-வயலெட் கலர் (2 பீஸ்),1050,₹ 210.00,1 Box
104.            ,Bro – code(crackling),ப்ரோ-கோட் (கிராக்கிளிங்),900,₹ 180.00,1 Box
105.            ,Snow point(crackling),ஸ்னோ பாயிண்ட் (கிராக்கிளிங்),900,₹ 180.00,1 Box
106.            ,11/2” Twinkling Star,1½” ட்விங்கிளிங் ஸ்டார்,120,₹ 24.00,1 Box
107.            ,4” Twinkling Star,4” ட்விங்கிளிங் ஸ்டார்,300,₹ 60.00,1 Box
108.            ,1\4 kg ,1/4 கிலோ,225,₹ 45.00,1 Box
109.            ,1\2 kg ,1/2 கிலோ,450,₹ 90.00,1 Box
110.            ,1 kg ,1 கிலோ,900,₹ 180.00,1 Box
111.            ,1\4 kg(Adiyal vbm) ,1/4 கிலோ (அடியால் VBM),350,₹ 70.00,1 Box
112.            ,1\2 kg (Adiyal vbm),1/2 கிலோ (அடியால் VBM),700,₹ 140.00,1 Box
113.            ,1 kg (Adiyal vbm),1 கிலோ (அடியால் VBM),1400,₹ 280.00,1 Box
114.            ,Colour paper bomp,கலர் பேப்பர் பாம்,350,₹ 70.00,1 Box
115.            ,Colour podi bomb ,கலர் பொடி பாம்,700,₹ 140.00,1 Box
116.            ,1\4 kg colour paper bomp,1/4 கிலோ கலர் பேப்பர் பாம்,400,₹ 80.00,1 Box
117.            ,Karudan,கருடன்,1000,₹ 200.00,1 Box
118.            ,Avatar 1,அவதார் 1,1400,₹ 280.00,1 Box
119.            ,Avatar 2,அவதார் 2,2000,₹ 400.00,1 Box
120.            ,Fire Bomp,ஃபயர் பாம்,1700,₹ 340.00,1 Box
121.            ,Magic Show,மேஜிக் ஷோ,1200,₹ 240.00,1 Box
122.            ,4 paper Shot,4 பேப்பர் ஷாட்,1050,₹ 210.00,1 Box
123.            ,8 Shot ,8 ஷாட் ,1750,₹ 350.00,1 Box
124.            ,Angry Birds(Red & Green),ஆங்க்ரி பேர்ட்ஸ் (ரெட் & கிரீன்),550,₹ 110.00,1 Box
125.            ,Angry Birds(Gold & Silver),ஆங்க்ரி பேர்ட்ஸ் (கோல்டு & சில்வர்),500,₹ 100.00,1 Box
126.            ,Magic Melody,மேஜிக் மெலடி,575,₹ 115.00,1 Box
127.            ,Candy Crush,கேண்டி கிரஷ்,750,₹ 150.00,1 Box
128.            ,Nemo(1pcs),நீமோ (1 பீஸ்),150,₹ 30.00,1 Pcs
129.            ,Nemo(5pcs),நீமோ (5 பீஸ்),675,₹ 135.00,1 Box
130.            ,Toy Story (1pcs),டாய் ஸ்டோரி (1 பீஸ்),225,₹ 45.00,1 Box
131.            ,Toy Story (5pcs),டாய் ஸ்டோரி (5 பீஸ்),1000,₹ 200.00,1 Box
132.            ,Tri Colour Premium,ட்ரை கலர் பிரீமியம்,1250,₹ 250.00,1 Box
133.            ,Tri colour Classic,ட்ரை கலர் கிளாசிக்,1000,₹ 200.00,1 Box
134.            ,MottuPatlu (2 in 1),மோட்டு பட்லு (2 இன் 1),900,₹ 180.00,1 Box
135.            ,Peri & Peri (2 in 1),பெரி பெரி(2 இன் 1),900,₹ 180.00,1 Box
136.            ,Belly Jelly (2 in 1),பெல்லி ஜெல்லி(2 இன் 1),900,₹ 180.00,1 Box
137.            ,Rock & Pop (2 in 1),ராக் & பாப் (2 இன் 1),900,₹ 180.00,1 Box
138.            ,Wonder Three (1pcs),வொண்டர் த்ரீ (1 பீஸ்),725,₹ 145.00,1 Box
139.            ,Welcome Star (1pcs),வெல்கம் ஸ்டார் (1 பீஸ்),600,₹ 120.00,1 Box
140.            ,Jumbo Crackling  (1pcs,ஜம்போ கிராக்கிளிங் (1 பீஸ்),775,₹ 155.00,1 Box
141.            ,Photo Flash (5 Pcs),போட்டோ ஃப்ளாஷ் (5 பீஸ்),325,₹ 65.00,1 Box
142.            ,Bambaraa (10 Pcs),பம்பரம் (10 பீஸ்),950,₹ 190.00,1 Box
143.            ,Kit Kat (10 Pcs),கிட் கேட் (10 பீஸ்),125,₹ 25.00,1 Box
144.            ,Whatsapp (INF)  ,வாட்ஸ்அப் (INF) (3 பீஸ்),1000,₹ 200.00,1 Box
,(3pcs ),,,,
145.            ,1” Chotta Fancy,1” சோட்டா ஃபான்சி,225,₹ 45.00,1 Box
146.            ,2” Fancy (1 Pc),2” ஃபான்சி (1 பீஸ்),450,₹ 90.00,1 Box
147.            ,2” Fancy INF (Premium),2” ஃபான்சி INF (பிரீமியம்),675,₹ 135.00,1 Box
148.            ,2” Fancy (2 Pcs),2” ஃபான்சி (2 பீஸ்),950,₹ 190.00,1 Box
149.            ,2” Fancy (3 Pcs),2” ஃபான்சி (3 பீஸ்),1250,₹ 250.00,1 Box
150.            ,2½” Fancy (1 Pc),2½” ஃபான்சி (1 பீஸ்),700,₹ 140.00,1 Box
151.            ,2½” Fancy (2 Pcs),2½” ஃபான்சி (2 பீஸ்),1250,₹ 250.00,1 Box
152.            ,2½” Fancy INF Premium,2½” ஃபான்சி INF பிரீமியம்,1200,₹ 240.00,1 Box
153.            ,3” Fancy (1 Pc),3” ஃபான்சி (1 பீஸ்),1275,₹ 255.00,1 Box
154.            ,3½” Double Ball,3½” டபுள் பால்,2800,₹ 560.00,1 Box
155.            ,3½” Fancy Sky Drivers Premium,3” ஃபான்சி ஸ்கை டிரைவர்ஸ் பிரீமியம்,1875,₹ 375.00,1 Box
156.            ,4” Fancy Manoj,4” ஃபான்சி மனோஜ்,1950,₹ 390.00,1 Box
157.            ,5” Fancy Sri Vijay,5” ஃபான்சி ஸ்ரீ விஜய்,3000,₹ 600.00,1 Nos
158.            ,5” Texas Delight,5” டெக்சாஸ் டிலைட்,1750,₹ 350.00,1 Box
